STAGE_DATA
0,0,0,1
100,0,0,1
400,0,0,1
200,0,0,1
300,0,0,1
500,0,0,1
600,0,0,1
700,0,0,1
800,0,0,1
900,0,0,1
1000,0,0,1
1100,0,0,1
1200,0,0,1
1300,0,0,1
1400,0,0,1
1500,0,0,1
1600,0,0,1
1700,0,0,1
1800,0,0,1
1900,0,0,1
2000,0,0,1
2100,0,0,1
2200,0,0,1
2300,0,0,1
2400,0,0,1
2500,0,0,1
2600,0,0,1
2700,0,0,1
2800,0,0,1
2900,0,0,1
3000,0,0,1
3100,0,0,1
3200,0,0,1
3300,0,0,1
3400,0,0,1
3500,0,0,1
3600,0,0,1
3700,0,0,1
3800,0,0,1
3900,0,0,1
4000,0,0,1
4100,0,0,1
4200,0,0,1
4300,0,0,1
4400,0,0,1
4500,0,0,1
4600,0,0,1
4700,0,0,1
4800,0,0,1
4900,0,0,1
5000,0,0,1
5100,0,0,1
5200,0,0,1
5300,0,0,1
5400,0,0,1
5500,0,0,1
5600,0,0,1
5700,0,0,1
5800,0,0,1
5900,0,0,1
5900,0,100,1
5900,0,200,1
5900,0,300,1
5900,0,400,1
5900,0,500,1
5900,0,600,1
5900,0,700,1
5900,0,800,1
5900,0,900,1
5900,0,1000,1
5900,0,1100,1
5900,0,1200,1
5800,0,1200,1
5700,0,1200,1
5600,0,1200,1
5500,0,1200,1
5400,0,1200,1
5300,0,1200,1
5200,0,1200,1
5100,0,1200,1
5000,0,1200,1
4900,0,1200,1
4800,0,1200,1
4700,0,1200,1
4600,0,1200,1
4500,0,1200,1
4400,0,1200,1
4300,0,1200,1
4200,0,1200,1
4100,0,1200,1
4000,0,1200,1
3900,0,1200,1
3800,0,1200,1
3700,0,1200,1
3600,0,1200,1
3500,0,1200,1
3400,0,1200,1
3300,0,1200,1
3200,0,1200,1
3100,0,1200,1
3000,0,1200,1
2900,0,1200,1
2800,0,1200,1
2700,0,1200,1
2600,0,1200,1
2500,0,1200,1
2400,0,1200,1
2300,0,1200,1
2200,0,1200,1
2100,0,1200,1
2000,0,1200,1
1900,0,1200,1
1800,0,1200,1
1700,0,1200,1
1600,0,1200,1
1500,0,1200,1
1400,0,1200,1
1300,0,1200,1
1200,0,1200,1
1100,0,1200,1
1000,0,1200,1
900,0,1200,1
800,0,1200,1
700,0,1200,1
600,0,1200,1
500,0,1200,1
400,0,1200,1
300,0,1200,1
200,0,1200,1
100,0,1200,1
0,0,1200,1
0,0,1100,1
0,0,1000,1
0,0,900,1
0,0,800,1
0,0,700,1
0,0,600,1
0,0,500,1
0,0,400,1
0,0,300,1
0,0,200,1
0,0,100,1
200,0,900,2
400,0,1000,2
200,0,300,2
400,0,200,5
600,0,300,2
600,0,900,4
800,0,1100,1
800,0,1000,1
800,0,900,1
800,0,800,1
800,0,400,1
800,0,300,1
800,0,200,1
800,0,100,1
1100,0,700,1
1100,0,800,1
1100,0,900,1
1200,0,900,1
1300,0,900,1
1400,0,900,1
1500,0,900,1
1600,0,900,1
1700,0,900,1
1700,0,800,1
1700,0,700,1
1700,0,600,1
1700,0,500,1
1700,0,400,2
1700,0,300,1
1600,0,300,1
1500,0,300,1
1400,0,300,1
1300,0,300,1
1200,0,300,1
1100,0,300,1
1100,0,400,1
1100,0,500,1
1100,0,600,2
1300,0,700,2
1500,0,700,2
1500,0,400,2
1600,0,500,3
1300,0,100,1
1500,0,100,4
1500,0,1100,1
1300,0,1100,1
4500,0,1100,1
4500,0,1000,1
4500,0,900,1
4500,0,800,1
4500,0,700,1
2000,0,100,1
4500,0,500,1
4500,0,400,1
4500,0,300,1
4500,0,200,1
4500,0,100,1
2000,0,200,1
2000,0,1100,1
2000,0,1000,1
2000,0,700,1
2000,0,600,1
2000,0,500,1
1900,0,900,2
1900,0,300,2
2000,0,400,1
2100,0,600,1
2200,0,600,1
2000,0,800,1
2300,0,600,6
2400,0,600,1
2500,0,600,1
2600,0,600,1
2600,0,700,1
2600,0,800,1
2700,0,900,2
2600,0,1000,1
2600,0,1100,1
2200,0,1000,1
2200,0,800,1
2400,0,800,1
2400,0,1000,1
2400,0,700,3
2600,0,500,1
2600,0,400,1
2600,0,300,2
2600,0,200,1
2600,0,100,1
2200,0,400,1
2200,0,200,1
2400,0,200,1
2400,0,400,1
2100,0,100,5
2400,0,500,2
2500,0,900,2
2500,0,300,2
2000,0,300,2
2700,0,600,1
2800,0,600,1
2900,0,600,6
3000,0,600,1
3100,0,600,1
3200,0,100,1
3200,0,200,1
3200,0,300,1
3200,0,400,1
3200,0,500,2
3200,0,700,2
3200,0,800,1
3200,0,900,1
3200,0,1000,1
3200,0,1100,1
3300,0,700,1
3300,0,500,1
3300,0,400,1
3300,0,800,1
2800,0,800,2
3400,0,200,1
3100,0,1100,5
2800,0,200,2
3400,0,1000,1
3100,0,100,4
3600,0,1000,1
3800,0,1000,1
4000,0,1000,1
4200,0,1000,1
4400,0,1000,1
4400,0,800,1
4400,0,400,1
4400,0,200,1
4200,0,200,1
4000,0,200,1
3800,0,200,1
3600,0,200,1
3600,0,400,1
3800,0,400,1
4000,0,400,1
4200,0,400,1
4200,0,600,1
4000,0,600,1
3800,0,600,1
3600,0,600,1
3600,0,800,1
3800,0,800,1
4000,0,800,1
4200,0,800,1
4400,0,100,3
4400,0,900,2
4400,0,300,2
4400,0,1100,2
3300,0,1000,4
3300,0,900,2
3300,0,1100,2
3300,0,300,2
3300,0,100,2
3500,0,100,2
3600,0,300,2
3700,0,200,4
3800,0,500,2
3900,0,500,2
4100,0,900,2
4100,0,300,2
4100,0,200,2
4000,0,100,2
3800,0,100,2
3400,0,400,2
3500,0,600,2
3400,0,800,2
3600,0,500,2
3500,0,900,2
3700,0,700,2
3400,0,300,2
3500,0,300,2
4500,0,600,2
4300,0,900,2
4200,0,1100,2
4100,0,1000,2
4100,0,800,2
4300,0,800,2
4300,0,400,2
4100,0,500,2
4100,0,700,2
3900,0,200,2
3900,0,900,3
3900,0,1100,2
3800,0,1100,2
3700,0,1000,2
3700,0,900,2
4000,0,500,5
4200,0,300,2
4000,0,700,2
2000,0,900,2
1900,0,400,2
END_STAGE_DATA
